FIPS_N,Issuer,Tax_Supported_Debt,Revenue_Supported_Debt,Lease_Purchase_Obligations,Total_Debt_Outstanding, County_Population ,Debt_per_capita,Total_Debt_Outstanding_per_capitastr,Link,Text_for_link
48001,Anderson,"$10,440,000",$0,$0,"$10,440,000"," 58,190 ",179,$179,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Anderson+County&countysubmit=GO,View Debt Profile
48003,Andrews,"$72,280,000",$0,$0,"$72,280,000"," 16,117 ",4485,"$4,485",http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48005,Angelina,"$8,195,000",$0,$0,"$8,195,000"," 87,597 ",94,$94,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Angelina+County&countysubmit=GO,View Debt Profile
48007,Aransas,"$19,835,000","$2,660,000",$0,"$22,495,000"," 23,818 ",944,$944,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48009,Archer,"$4,605,000",$0,$0,"$4,605,000"," 8,735 ",527,$527,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48011,Armstrong,$0,$0,$0,$0," 1,944 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48013,Atascosa,"$2,945,000",$0,$0,"$2,945,000"," 46,446 ",63,$63,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Atascosa+County&countysubmit=GO,View Debt Profile
48015,Austin,"$9,175,000",$0,$0,"$9,175,000"," 28,618 ",321,$321,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Austin+County&countysubmit=GO,View Debt Profile
48017,Bailey,"$3,475,000",$0,$0,"$3,475,000"," 7,130 ",487,$487,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48019,Bandera,"$9,465,000",$0,$0,"$9,465,000"," 20,537 ",461,$461,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48021,Bastrop,"$37,955,000",$0,$0,"$37,955,000"," 74,763 ",508,$508,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Bastrop+County&countysubmit=GO,View Debt Profile
48023,Baylor,$0,$0,$0,$0," 3,623 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48025,Bee,"$6,730,000",$0,$0,"$6,730,000"," 32,527 ",207,$207,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Bee+County&countysubmit=GO,View Debt Profile
48027,Bell,"$118,200,000",$0,$0,"$118,200,000"," 323,037 ",366,$366,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Bell+County&countysubmit=GO,View Debt Profile
48029,Bexar,"$962,710,000","$331,100,000",$0,"$1,293,810,000"," 1,785,704 ",725,$725,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Bexar+County&countysubmit=GO,View Debt Profile
48031,Blanco,"$5,790,000",$0,$0,"$5,790,000"," 10,655 ",543,$543,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48033,Borden,$0,$0,$0,$0, 616 ,0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48035,Bosque,$0,$0,$0,$0," 18,125 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48037,Bowie,"$2,775,000",$0,$0,"$2,775,000"," 93,148 ",30,$30,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Bowie+County&countysubmit=GO,View Debt Profile
48039,Brazoria,"$92,050,000",$0,$0,"$92,050,000"," 324,769 ",283,$283,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Brazoria+County&countysubmit=GO,View Debt Profile
48041,Brazos,"$94,130,000",$0,$0,"$94,130,000"," 200,665 ",469,$469,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Brazos+County&countysubmit=GO,View Debt Profile
48043,Brewster,"$3,700,000",$0,$0,"$3,700,000"," 9,316 ",397,$397,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48045,Briscoe,$0,$0,$0,$0," 1,561 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48047,Brooks,"$3,855,000",$0,$0,"$3,855,000"," 7,161 ",538,$538,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48049,Brown,"$5,855,000",$0,$0,"$5,855,000"," 37,825 ",155,$155,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Brown+County&countysubmit=GO,View Debt Profile
48051,Burleson,"$820,000",$0,$0,"$820,000"," 17,291 ",47,$47,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48053,Burnet,"$4,790,000",$0,"$33,045,000","$37,835,000"," 43,448 ",871,$871,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Burnet+County&countysubmit=GO,View Debt Profile
48055,Caldwell,"$12,115,000",$0,$0,"$12,115,000"," 38,734 ",313,$313,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Caldwell+County&countysubmit=GO,View Debt Profile
48057,Calhoun,"$10,765,000",$0,$0,"$10,765,000"," 21,609 ",498,$498,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48059,Callahan,$0,$0,$0,$0," 13,517 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48061,Cameron,"$119,225,000","$6,340,000",$0,"$125,565,000"," 415,557 ",302,$302,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Cameron+County&countysubmit=GO,View Debt Profile
48063,Camp,$0,"$35,310,000",$0,"$35,310,000"," 12,449 ",2836,"$2,836",http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48065,Carson,"$7,005,000",$0,$0,"$7,005,000"," 6,157 ",1138,"$1,138",http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48067,Cass,"$6,475,000",$0,$0,"$6,475,000"," 30,166 ",215,$215,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Cass+County&countysubmit=GO,View Debt Profile
48069,Castro,$0,$0,$0,$0," 8,164 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
